호텔,객실 타입,원가,할인가,할인액,할인율
리안호텔 (경쟁사),스탠다드 더블룸 (Standard Double Room),"₩85,289","₩76,955","₩8,334",9%
리안호텔 (경쟁사),스탠다드 트윈룸 (Standard Twin),"₩93,223","₩87,049","₩6,174",6%
리안호텔 (경쟁사),패밀리트윈 (Family Twin),"₩132,231","₩126,323","₩5,908",4%
리안호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩195,041","₩190,222","₩4,819",2%
그리드인 호텔 (우리),싱글룸 (Single - Room),"₩59,504","₩52,086","₩7,418",12%
그리드인 호텔 (우리),트윈룸 (Twin Room),"₩79,706","₩73,402","₩6,304",7%
그리드인 호텔 (우리),이코노믹 더블 (Economic Double),"₩79,706","₩73,402","₩6,304",7%
그리드인 호텔 (우리),더블룸 (Double Room),"₩83,706","₩83,706",₩0,0%
그리드인 호텔 (우리),트리플룸 (Triple),"₩103,389","₩95,653","₩7,736",7%
그리드인 호텔 (우리),패밀리룸 - 4인 (Family room - 4 pax),"₩154,593","₩154,593",₩0,0%
나포레호텔 (경쟁사),슈페리어 더블 (Superior Double),"₩90,506","₩78,072","₩12,434",13%
나포레호텔 (경쟁사),슈페리어 트윈 (Superior Twin),"₩103,356","₩89,409","₩13,947",13%
나포레호텔 (경쟁사),디럭스 더블룸 (Deluxe Dbl),"₩125,364","₩108,646","₩16,718",13%
나포레호텔 (경쟁사),디럭스룸 (트윈베드),"₩167,045","₩153,379","₩13,666",8%
나포레호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩207,828","₩192,567","₩15,261",7%
나포레호텔 (경쟁사),패밀리트윈 (Family Twin),"₩250,287","₩233,568","₩16,719",6%
